id,year,state_name,state_code,district_name,district_code,crop_name,crop_code,crop_type,season,area,area_unit,production,production_unit,yield,yield_unit,old_district_name,actual_rainfall,rfs_rainfall,normal_rainfall,rainfall_deviation,agri_year,irrigation_food_category,irrigation_crop_type,irrigation_crop_name,irrigation_crop_code,irrigation_season,crop_irrigation_area,total_irrigated_area
343225,2017-2018,Telangana,36,Mancherial,684,Jowar,102.0,Cereals,Kharif,40.0,Hectare,38.0,Tonnes,0.95,Tonnes/Hectare,Adilabad,920.3600000000002,504.6567939128999,1103.5999999999992,19.96810455707852,2017-2018,Food Crop,Cereals & Millets,Jowar,102.0,Kharif,10.0,901526.0
343391,2017-2018,Telangana,36,Nirmal,680,Jowar,102.0,Cereals,Kharif,4.0,Hectare,4.0,Tonnes,1.0,Tonnes/Hectare,Adilabad,920.3600000000002,504.6567939128999,1103.5999999999992,19.96810455707852,2017-2018,Food Crop,Cereals & Millets,Jowar,102.0,Kharif,10.0,901526.0
363465,2018-2019,Telangana,36,Adilabad,501,Jowar,102.0,Cereals,Kharif,2783.0,Hectare,2001.0,Tonnes,0.719,Tonnes/Hectare,Adilabad,1302.1600000000003,713.9994093663,1103.5999999999992,75.47406806012893,2018-2019,Food Crop,Cereals & Millets,Jowar,102.0,Kharif,10.0,944546.0
363802,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699,Jowar,102.0,Cereals,Kharif,1760.0,Hectare,1888.0,Tonnes,1.073,Tonnes/Hectare,Adilabad,1302.1600000000003,713.9994093663,1103.5999999999992,75.47406806012893,2018-2019,Food Crop,Cereals & Millets,Jowar,102.0,Kharif,10.0,944546.0
363904,2018-2019,Telangana,36,Mancherial,684,Jowar,102.0,Cereals,Kharif,10.0,Hectare,9.0,Tonnes,0.9,Tonnes/Hectare,Adilabad,1302.1600000000003,713.9994093663,1103.5999999999992,75.47406806012893,2018-2019,Food Crop,Cereals & Millets,Jowar,102.0,Kharif,10.0,944546.0
364131,2018-2019,Telangana,36,Nirmal,680,Jowar,102.0,Cereals,Kharif,31.0,Hectare,29.0,Tonnes,0.935,Tonnes/Hectare,Adilabad,1302.1600000000003,713.9994093663,1103.5999999999992,75.47406806012893,2018-2019,Food Crop,Cereals & Millets,Jowar,102.0,Kharif,10.0,944546.0
385430,2019-2020,Telangana,36,Adilabad,501,Jowar,102.0,Cereals,Kharif,1571.0,Hectare,1643.0,Tonnes,1.046,Tonnes/Hectare,Adilabad,1414.6799999999992,775.7156292398001,1103.7999999999993,69.93118002375942,2019-2020,Food Crop,Cereals & Millets,Jowar,102.0,Kharif,1.0,1048794.0
385828,2019-2020,Telangana,36,Kumuram Bheem Asifabad,699,Jowar,102.0,Cereals,Kharif,1679.0,Hectare,1348.0,Tonnes,0.803,Tonnes/Hectare,Adilabad,1414.6799999999992,775.7156292398001,1103.7999999999993,69.93118002375942,2019-2020,Food Crop,Cereals & Millets,Jowar,102.0,Kharif,1.0,1048794.0
385959,2019-2020,Telangana,36,Mancherial,684,Jowar,102.0,Cereals,Kharif,18.0,Hectare,21.0,Tonnes,1.167,Tonnes/Hectare,Adilabad,1414.6799999999992,775.7156292398001,1103.7999999999993,69.93118002375942,2019-2020,Food Crop,Cereals & Millets,Jowar,102.0,Kharif,1.0,1048794.0
386237,2019-2020,Telangana,36,Nirmal,680,Jowar,102.0,Cereals,Kharif,28.0,Hectare,33.0,Tonnes,1.179,Tonnes/Hectare,Adilabad,1414.6799999999992,775.7156292398001,1103.7999999999993,69.93118002375942,2019-2020,Food Crop,Cereals & Millets,Jowar,102.0,Kharif,1.0,1048794.0
406887,2020-2021,Telangana,36,Adilabad,501,Jowar,102.0,Cereals,Kharif,1538.0,Hectare,1277.0,Tonnes,0.83,Tonnes/Hectare,Adilabad,1114.7199999999991,567.5759671105001,1103.5999999999992,-15.100530357419071,2020-2021,Food Crop,Cereals & Millets,Jowar,102.0,Kharif,29.0,1101556.0
