id,year,state_name,state_code,district_name,district_code,crop_name,crop_code,crop_type,season,area,area_unit,production,production_unit,yield,yield_unit,old_district_name,year_start,previous_year_yield,historical_avg_yield,previous_year_production,previous_year_area
386226,2019-2020,Telangana,36,Nirmal,680,Bajra,103.0,Cereals,Rabi,439.0,Hectare,0.0,Tonnes,0.0,Tonnes/Hectare,Adilabad,2019,1.0,0.8858,1.0,1.0
406870,2020-2021,Telangana,36,Adilabad,501,Bajra,103.0,Cereals,Rabi,12.0,Hectare,11.0,Tonnes,0.917,Tonnes/Hectare,Adilabad,2020,0.0,0.7381666666666667,0.0,439.0
407818,2020-2021,Telangana,36,Nirmal,680,Bajra,103.0,Cereals,Rabi,500.0,Hectare,464.0,Tonnes,0.928,Tonnes/Hectare,Adilabad,2020,0.917,0.7637142857142857,11.0,12.0
428125,2021-2022,Telangana,36,Adilabad,501,Bajra,103.0,Cereals,Rabi,2.0,Hectare,2.0,Tonnes,1.0,Tonnes/Hectare,Adilabad,2021,0.928,0.78425,464.0,500.0
429242,2021-2022,Telangana,36,Nirmal,680,Bajra,103.0,Cereals,Rabi,45.0,Hectare,45.0,Tonnes,1.0,Tonnes/Hectare,Adilabad,2021,1.0,0.8082222222222222,2.0,2.0
451130,2022-2023,Telangana,36,Nirmal,680,Bajra,103.0,Cereals,Rabi,3.0,Hectare,6.0,Tonnes,2.0,Tonnes/Hectare,Adilabad,2022,1.0,0.8273999999999999,45.0,45.0
284695,2014-2015,Telangana,36,Adilabad,501,Banana,606.0,Fruits,Kharif,11.0,Hectare,464.0,Tonnes,42.182,Tonnes/Hectare,Adilabad,2014,,,,
303185,2015-2016,Telangana,36,Adilabad,501,Banana,606.0,Fruits,Kharif,20.0,Hectare,957.0,Tonnes,47.85,Tonnes/Hectare,Adilabad,2015,42.182,42.182,464.0,11.0
322102,2016-2017,Telangana,36,Adilabad,501,Banana,606.0,Fruits,Kharif,28.0,Hectare,1295.0,Tonnes,46.25,Tonnes/Hectare,Adilabad,2016,47.85,45.016000000000005,957.0,20.0
322485,2016-2017,Telangana,36,Kumuram Bheem Asifabad,699,Banana,606.0,Fruits,Kharif,8.0,Hectare,370.0,Tonnes,46.25,Tonnes/Hectare,Adilabad,2016,46.25,45.42733333333334,1295.0,28.0
322789,2016-2017,Telangana,36,Nirmal,680,Banana,606.0,Fruits,Kharif,44.0,Hectare,2036.0,Tonnes,46.273,Tonnes/Hectare,Adilabad,2016,46.25,45.633,370.0,8.0
342734,2017-2018,Telangana,36,Adilabad,501,Banana,606.0,Fruits,Kharif,12.0,Hectare,773.0,Tonnes,64.417,Tonnes/Hectare,Adilabad,2017,46.273,45.761,2036.0,44.0
343096,2017-2018,Telangana,36,Kumuram Bheem Asifabad,699,Banana,606.0,Fruits,Kharif,8.0,Hectare,515.0,Tonnes,64.375,Tonnes/Hectare,Adilabad,2017,64.417,48.87033333333333,773.0,12.0
343381,2017-2018,Telangana,36,Nirmal,680,Banana,606.0,Fruits,Kharif,18.0,Hectare,1160.0,Tonnes,64.444,Tonnes/Hectare,Adilabad,2017,64.375,51.08528571428571,515.0,8.0
363449,2018-2019,Telangana,36,Adilabad,501,Banana,606.0,Fruits,Kharif,11.0,Hectare,677.0,Tonnes,61.545,Tonnes/Hectare,Adilabad,2018,64.444,52.755125,1160.0,18.0
363788,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699,Banana,606.0,Fruits,Kharif,11.0,Hectare,677.0,Tonnes,61.545,Tonnes/Hectare,Adilabad,2018,61.545,53.73177777777778,677.0,11.0
364123,2018-2019,Telangana,36,Nirmal,680,Banana,606.0,Fruits,Kharif,32.0,Hectare,1970.0,Tonnes,61.562,Tonnes/Hectare,Adilabad,2018,61.545,54.513099999999994,677.0,11.0
385414,2019-2020,Telangana,36,Adilabad,501,Banana,606.0,Fruits,Kharif,17.0,Hectare,1005.0,Tonnes,59.118,Tonnes/Hectare,Adilabad,2019,61.562,55.15390909090909,1970.0,32.0
385813,2019-2020,Telangana,36,Kumuram Bheem Asifabad,699,Banana,606.0,Fruits,Kharif,18.0,Hectare,1064.0,Tonnes,59.111,Tonnes/Hectare,Adilabad,2019,59.118,55.48425,1005.0,17.0
386227,2019-2020,Telangana,36,Nirmal,680,Banana,606.0,Fruits,Kharif,20.0,Hectare,1182.0,Tonnes,59.1,Tonnes/Hectare,Adilabad,2019,59.111,55.76323076923077,1064.0,18.0
406871,2020-2021,Telangana,36,Adilabad,501,Banana,606.0,Fruits,Kharif,17.0,Hectare,793.0,Tonnes,46.647,Tonnes/Hectare,Adilabad,2020,59.1,56.00157142857143,1182.0,20.0
407356,2020-2021,Telangana,36,Kumuram Bheem Asifabad,699,Banana,606.0,Fruits,Kharif,12.0,Hectare,560.0,Tonnes,46.667,Tonnes/Hectare,Adilabad,2020,46.647,55.37793333333333,793.0,17.0
407819,2020-2021,Telangana,36,Nirmal,680,Banana,606.0,Fruits,Kharif,16.0,Hectare,747.0,Tonnes,46.688,Tonnes/Hectare,Adilabad,2020,46.667,54.8335,560.0,12.0
428126,2021-2022,Telangana,36,Adilabad,501,Banana,606.0,Fruits,Kharif,17.0,Hectare,580.0,Tonnes,34.118,Tonnes/Hectare,Adilabad,2021,46.688,54.35435294117647,747.0,16.0
428689,2021-2022,Telangana,36,Kumuram Bheem Asifabad,699,Banana,606.0,Fruits,Kharif,12.0,Hectare,409.0,Tonnes,34.083,Tonnes/Hectare,Adilabad,2021,34.118,53.230111111111114,580.0,17.0
429243,2021-2022,Telangana,36,Nirmal,680,Banana,606.0,Fruits,Kharif,22.0,Hectare,750.0,Tonnes,34.091,Tonnes/Hectare,Adilabad,2021,34.083,52.222368421052636,409.0,12.0
450140,2022-2023,Telangana,36,Adilabad,501,Banana,606.0,Fruits,Kharif,17.0,Hectare,717.0,Tonnes,42.176,Tonnes/Hectare,Adilabad,2022,34.091,51.3158,750.0,22.0
450642,2022-2023,Telangana,36,Kumuram Bheem Asifabad,699,Banana,606.0,Fruits,Kharif,12.0,Hectare,506.0,Tonnes,42.167,Tonnes/Hectare,Adilabad,2022,42.176,50.88057142857143,717.0,17.0
