id,year,state_name,state_code,district_name,district_code,irrigated_area_type,area_classification,area_sub_classification,irrigated_area,old_district_name
12131,1999-2000,Telangana,36,Ranga Reddy,518.0,Net Irrigated Area,Well,Tubewell,38319.0,Ranga Reddy
12132,1999-2000,Telangana,36,Warangal,522.0,Gross Irrigated Area,Canal,Government,3269.0,Warangal
12133,1999-2000,Telangana,36,Warangal,522.0,Gross Irrigated Area,Canal,Private,,Warangal
12134,1999-2000,Telangana,36,Warangal,522.0,Gross Irrigated Area,Other Source,Other Source,5081.0,Warangal
12135,1999-2000,Telangana,36,Warangal,522.0,Gross Irrigated Area,Tank,Tank,84677.0,Warangal
12136,1999-2000,Telangana,36,Warangal,522.0,Gross Irrigated Area,Well,Other Well,223801.0,Warangal
12137,1999-2000,Telangana,36,Warangal,522.0,Gross Irrigated Area,Well,Tubewell,28640.0,Warangal
12138,1999-2000,Telangana,36,Warangal,522.0,Net Irrigated Area,Canal,Government,2633.0,Warangal
12139,1999-2000,Telangana,36,Warangal,522.0,Net Irrigated Area,Canal,Private,,Warangal
12140,1999-2000,Telangana,36,Warangal,522.0,Net Irrigated Area,Other Source,Other Source,4285.0,Warangal
12141,1999-2000,Telangana,36,Warangal,522.0,Net Irrigated Area,Tank,Tank,69334.0,Warangal
12142,1999-2000,Telangana,36,Warangal,522.0,Net Irrigated Area,Well,Other Well,193108.0,Warangal
12143,1999-2000,Telangana,36,Warangal,522.0,Net Irrigated Area,Well,Tubewell,17803.0,Warangal
18567,2000-2001,Telangana,36,Khammam,509.0,Gross Irrigated Area,Tank,Tank,55523.0,Khammam
18540,2000-2001,Telangana,36,Adilabad,501.0,Gross Irrigated Area,Canal,Government,19743.0,Adilabad
18541,2000-2001,Telangana,36,Adilabad,501.0,Gross Irrigated Area,Canal,Private,,Adilabad
18542,2000-2001,Telangana,36,Adilabad,501.0,Gross Irrigated Area,Other Source,Other Source,2971.0,Adilabad
18543,2000-2001,Telangana,36,Adilabad,501.0,Gross Irrigated Area,Tank,Tank,22531.0,Adilabad
18544,2000-2001,Telangana,36,Adilabad,501.0,Gross Irrigated Area,Well,Other Well,18587.0,Adilabad
18545,2000-2001,Telangana,36,Adilabad,501.0,Gross Irrigated Area,Well,Tubewell,33936.0,Adilabad
18546,2000-2001,Telangana,36,Adilabad,501.0,Net Irrigated Area,Canal,Government,18906.0,Adilabad
18547,2000-2001,Telangana,36,Adilabad,501.0,Net Irrigated Area,Canal,Private,,Adilabad
18548,2000-2001,Telangana,36,Adilabad,501.0,Net Irrigated Area,Other Source,Other Source,2810.0,Adilabad
18549,2000-2001,Telangana,36,Adilabad,501.0,Net Irrigated Area,Tank,Tank,21967.0,Adilabad
18550,2000-2001,Telangana,36,Adilabad,501.0,Net Irrigated Area,Well,Other Well,15717.0,Adilabad
18551,2000-2001,Telangana,36,Adilabad,501.0,Net Irrigated Area,Well,Tubewell,21683.0,Adilabad
18552,2000-2001,Telangana,36,Karimnagar,508.0,Gross Irrigated Area,Canal,Government,104811.0,Karimnagar
