id,year,state_name,state_code,district_name,district_code,crop_name,crop_code,crop_type,season,area,area_unit,production,production_unit,yield,yield_unit,old_district_name
429819,2021-2022,Telangana,36,Wanaparthy,693,Groundnut,1001.0,Oilseeds,Total,13868.0,Hectare,34640.0,Tonnes,2.498,Tonnes/Hectare,Mahabubnagar
429820,2021-2022,Telangana,36,Wanaparthy,693,Horse-Gram,206.0,Pulses,Kharif,9.0,Hectare,6.0,Tonnes,0.667,Tonnes/Hectare,Mahabubnagar
429821,2021-2022,Telangana,36,Wanaparthy,693,Horse-Gram,206.0,Pulses,Rabi,48.0,Hectare,39.0,Tonnes,0.812,Tonnes/Hectare,Mahabubnagar
429822,2021-2022,Telangana,36,Wanaparthy,693,Horse-Gram,206.0,Pulses,Total,57.0,Hectare,45.0,Tonnes,0.789,Tonnes/Hectare,Mahabubnagar
429823,2021-2022,Telangana,36,Wanaparthy,693,Jowar,102.0,Cereals,Kharif,752.0,Hectare,302.0,Tonnes,0.402,Tonnes/Hectare,Mahabubnagar
429824,2021-2022,Telangana,36,Wanaparthy,693,Jowar,102.0,Cereals,Rabi,51.0,Hectare,101.0,Tonnes,1.98,Tonnes/Hectare,Mahabubnagar
429825,2021-2022,Telangana,36,Wanaparthy,693,Jowar,102.0,Cereals,Total,803.0,Hectare,403.0,Tonnes,0.502,Tonnes/Hectare,Mahabubnagar
429826,2021-2022,Telangana,36,Wanaparthy,693,Maize,104.0,Cereals,Kharif,4704.0,Hectare,18472.0,Tonnes,3.927,Tonnes/Hectare,Mahabubnagar
429827,2021-2022,Telangana,36,Wanaparthy,693,Maize,104.0,Cereals,Rabi,107.0,Hectare,477.0,Tonnes,4.458,Tonnes/Hectare,Mahabubnagar
429828,2021-2022,Telangana,36,Wanaparthy,693,Maize,104.0,Cereals,Total,4811.0,Hectare,18949.0,Tonnes,3.939,Tonnes/Hectare,Mahabubnagar
429829,2021-2022,Telangana,36,Wanaparthy,693,Moong(Green Gram),204.0,Pulses,Kharif,91.0,Hectare,45.0,Tonnes,0.495,Tonnes/Hectare,Mahabubnagar
429830,2021-2022,Telangana,36,Wanaparthy,693,Moong(Green Gram),204.0,Pulses,Rabi,135.0,Hectare,129.0,Tonnes,0.956,Tonnes/Hectare,Mahabubnagar
429831,2021-2022,Telangana,36,Wanaparthy,693,Moong(Green Gram),204.0,Pulses,Total,226.0,Hectare,174.0,Tonnes,0.77,Tonnes/Hectare,Mahabubnagar
429832,2021-2022,Telangana,36,Wanaparthy,693,Onion,708.0,Vegetable,Kharif,859.0,Hectare,21283.0,Tonnes,24.776,Tonnes/Hectare,Mahabubnagar
